_id,nombre,uri,poder
044.jpg,Carta 1,https://carta.com/1,1
063.jpg,Carta 2,https://carta.com/2,2
0BF.jpg,Carta 3,https://carta.com/3,3
0E0.jpg,Carta 4,https://carta.com/4,4
138.jpg,Carta 5,https://carta.com/5,5
168.jpg,Carta 6,https://carta.com/6,6
175.jpg,Carta 7,https://carta.com/7,7
1AE.jpg,Carta 8,https://carta.com/8,8
1DF.jpg,Carta 9,https://carta.com/9,9
1F4.jpg,Carta 10,https://carta.com/10,10
1F5.jpg,Carta 11,https://carta.com/11,11
1F9.jpg,Carta 12,https://carta.com/12,12
201.jpg,Carta 13,https://carta.com/13,13
226.jpg,Carta 14,https://carta.com/14,14
236.jpg,Carta 15,https://carta.com/15,15
25B.jpg,Carta 16,https://carta.com/16,16
272.jpg,Carta 17,https://carta.com/17,17
287.jpg,Carta 18,https://carta.com/18,18
292.jpg,Carta 19,https://carta.com/19,19
2E2.jpg,Carta 20,https://carta.com/20,20
303.jpg,Carta 21,https://carta.com/21,21
334.jpg,Carta 22,https://carta.com/22,22
338.jpg,Carta 23,https://carta.com/23,23
33C.jpg,Carta 24,https://carta.com/24,24
34F.jpg,Carta 25,https://carta.com/25,25
367.jpg,Carta 26,https://carta.com/26,26
372.jpg,Carta 27,https://carta.com/27,27
384.jpg,Carta 28,https://carta.com/28,28
386.jpg,Carta 29,https://carta.com/29,29
4B7.jpg,Carta 30,https://carta.com/30,30
4C1.jpg,Carta 31,https://carta.com/31,31
4C8.jpg,Carta 32,https://carta.com/32,32
4E5.jpg,Carta 33,https://carta.com/33,33
557.jpg,Carta 34,https://carta.com/34,34
5A6.jpg,Carta 35,https://carta.com/35,35
5B9.jpg,Carta 36,https://carta.com/36,36
5DE.jpg,Carta 37,https://carta.com/37,37
5EA.jpg,Carta 38,https://carta.com/38,38
625.jpg,Carta 39,https://carta.com/39,39
675.jpg,Carta 40,https://carta.com/40,40
68C.jpg,Carta 41,https://carta.com/41,41
6AC.jpg,Carta 42,https://carta.com/42,42
6B6.jpg,Carta 43,https://carta.com/43,43
740.jpg,Carta 44,https://carta.com/44,44
74D.jpg,Carta 45,https://carta.com/45,45
763.jpg,Carta 46,https://carta.com/46,46
780.jpg,Carta 47,https://carta.com/47,47
780_.jpg,Carta 48,https://carta.com/48,48
783.jpg,Carta 49,https://carta.com/49,49
7B8.jpg,Carta 50,https://carta.com/50,50
7BA.jpg,Carta 51,https://carta.com/51,51
7C6.jpg,Carta 52,https://carta.com/52,52
7D1.jpg,Carta 53,https://carta.com/53,53
7DB.jpg,Carta 54,https://carta.com/54,54
7EB.jpg,Carta 55,https://carta.com/55,55
807.jpg,Carta 56,https://carta.com/56,56
81F.jpg,Carta 57,https://carta.com/57,57
85F.jpg,Carta 58,https://carta.com/58,58
86A.jpg,Carta 59,https://carta.com/59,59
8A9.jpg,Carta 60,https://carta.com/60,60
8AE.jpg,Carta 61,https://carta.com/61,61
946.jpg,Carta 62,https://carta.com/62,62
95C.jpg,Carta 63,https://carta.com/63,63
970.jpg,Carta 64,https://carta.com/64,64
982.jpg,Carta 65,https://carta.com/65,65
99A.jpg,Carta 66,https://carta.com/66,66
9A6.jpg,Carta 67,https://carta.com/67,67
9D8.jpg,Carta 68,https://carta.com/68,68
9E2.jpg,Carta 69,https://carta.com/69,69
9F3.jpg,Carta 70,https://carta.com/70,70
A25.jpg,Carta 71,https://carta.com/71,71
A3D.jpg,Carta 72,https://carta.com/72,72
AA5.jpg,Carta 73,https://carta.com/73,73
AF9.jpg,Carta 74,https://carta.com/74,74
B29.jpg,Carta 75,https://carta.com/75,75
B4E.jpg,Carta 76,https://carta.com/76,76
BA0.jpg,Carta 77,https://carta.com/77,77
BA3.jpg,Carta 78,https://carta.com/78,78
BB1.jpg,Carta 79,https://carta.com/79,79
BDF.jpg,Carta 80,https://carta.com/80,80
C16.jpg,Carta 81,https://carta.com/81,81
C1A.jpg,Carta 82,https://carta.com/82,82
C56.jpg,Carta 83,https://carta.com/83,83
C68.jpg,Carta 84,https://carta.com/84,84
C81.jpg,Carta 85,https://carta.com/85,85
C82.jpg,Carta 86,https://carta.com/86,86
CAC_.jpg,Carta 87,https://carta.com/87,87
CC1.jpg,Carta 88,https://carta.com/88,88
CD5.jpg,Carta 89,https://carta.com/89,89
CE4.jpg,Carta 90,https://carta.com/90,90
CF3.jpg,Carta 91,https://carta.com/91,91
D76.jpg,Carta 92,https://carta.com/92,92
D8B.jpg,Carta 93,https://carta.com/93,93
DD9.jpg,Carta 94,https://carta.com/94,94
E3A.jpg,Carta 95,https://carta.com/95,95
E44.jpg,Carta 96,https://carta.com/96,96
E55.jpg,Carta 97,https://carta.com/97,97
E5E.jpg,Carta 98,https://carta.com/98,98
E60.jpg,Carta 99,https://carta.com/99,99
E6F.jpg,Carta 100,https://carta.com/100,100
E9C.jpg,Carta 101,https://carta.com/101,101
EAF.jpg,Carta 102,https://carta.com/102,102
EC2.jpg,Carta 103,https://carta.com/103,103
EFB.jpg,Carta 104,https://carta.com/104,104
F14.jpg,Carta 105,https://carta.com/105,105
F52.jpg,Carta 106,https://carta.com/106,106
F7E.jpg,Carta 107,https://carta.com/107,107
F89.jpg,Carta 108,https://carta.com/108,108
